"draw_id","Zone","Year","NMDS1","NMDS2"
5,"Outside",2008,0.0741730426744747,-0.0656064566370523
5,"Outside",2009,0.0682555946822441,-0.0443876984652289
5,"Outside",2010,0.102125465244451,-0.0425479817107559
5,"Outside",2011,0.0979984346702046,-0.0206827710486105
5,"Outside",2012,0.120839214777226,-0.0120797452209205
5,"Outside",2013,0.129073036404151,-0.013282334319619
5,"Outside",2014,0.138402104489577,-0.00747768653410742
5,"Outside",2015,0.136251443585606,0.00318567905733391
5,"Outside",2016,0.11101661347582,0.0175636605981639
5,"Outside",2017,0.125051487289785,0.0172848832366048
5,"Outside",2018,0.133360312622548,0.022081478296811
5,"Outside",2019,0.145380389624151,0.0169958399042787
5,"Outside",2020,0.144171827753622,0.0284077134327001
5,"Outside",2021,0.145282621993733,0.0425353968077021
5,"Outside",2022,0.171114861994661,0.0675104955741393
5,"Outside",2023,0.157493992296652,0.102770670489644
6,"Core",2000,-0.159952728270944,-0.0823196486134009
6,"Core",2001,-0.161610023917862,-0.0585862357155464
6,"Core",2002,-0.159723727995345,-0.0433338955537869
6,"Core",2003,-0.151028553739666,-0.0379773497643458
6,"Core",2004,-0.132941354436739,-0.0464995425297341
6,"Core",2005,-0.14381109133968,-0.0445826682938273
6,"Core",2006,-0.154515426932266,-0.0204351558430915
6,"Core",2007,-0.144911312226678,-0.0126961430562802
6,"Core",2008,-0.136336211921614,0.0051007739301103
6,"Core",2009,-0.13213859773089,0.0261262640612826
6,"Core",2010,-0.123074293798858,0.017274248886471
6,"Core",2011,-0.108772193809729,0.039666605171236
6,"Core",2012,-0.0988524580431405,0.0225153932360276
6,"Core",2013,-0.105597959290177,0.0513362527684895
6,"Core",2014,-0.0846715235130827,0.0547289892674379
6,"Core",2015,-0.0831620519685765,0.0579396210803786
6,"Core",2016,-0.0882888233117965,0.0828741734875423
6,"Core",2017,-0.0805957155738844,0.0794067602900212
6,"Core",2018,-0.0522784541815551,0.114199272666604
6,"Core",2019,-0.0541339488263753,0.0924696668294357
6,"Core",2020,-0.0464197150846859,0.0694744134828714
6,"Core",2021,-0.0613615301222096,0.111311000835181
6,"Core",2022,-0.0677501077701808,0.151490746512428
6,"Core",2023,-0.0770317967625944,0.178910091140959
6,"Buffer",2000,-0.044654812659205,-0.10498448798099
6,"Buffer",2001,-0.0353116329414638,-0.0845019370442267
6,"Buffer",2002,-0.0265406551784791,-0.0841261733568625
6,"Buffer",2003,-0.0389718047486404,-0.0800771717079966
6,"Buffer",2004,-0.0349697947584002,-0.0815841904863908
6,"Buffer",2005,-0.0387873171384219,-0.073470336943704
6,"Buffer",2006,-0.00827595631459676,-0.0509589022138166
