"Zone","Year","draw_id","delta"
"Buffer",2020,7,0.0172140535974656
"Buffer",2021,7,0.0258805788577087
"Buffer",2022,7,0.0588251766634209
"Buffer",2023,7,0.0271956234857208
"Outside",2001,7,0.0222951028758105
"Outside",2002,7,0.0208783963239718
"Outside",2003,7,0.00765539521427233
"Outside",2004,7,0.00878528493675922
"Outside",2005,7,0.0147546692819991
"Outside",2006,7,0.0189402053244199
"Outside",2007,7,0.0157579531909912
"Outside",2008,7,0.00376746888444448
"Outside",2009,7,0.0345554659970209
"Outside",2010,7,0.0138640340797817
"Outside",2011,7,0.0181041587562955
"Outside",2012,7,0.0263603547311833
"Outside",2013,7,0.00703649512398577
"Outside",2014,7,0.0257544361848205
"Outside",2015,7,0.0108211277142635
"Outside",2016,7,0.00507497438331721
"Outside",2017,7,0.0264970872946851
"Outside",2018,7,0.0086553013730422
"Outside",2019,7,0.0313908113206808
"Outside",2020,7,0.0361826253653387
"Outside",2021,7,0.0276775591823655
"Outside",2022,7,0.0364235779235829
"Outside",2023,7,0.0341855199074103
"Core",2001,8,0.0160308193460848
"Core",2002,8,0.0239123027844259
"Core",2003,8,0.0300840299202489
"Core",2004,8,0.014823555636547
"Core",2005,8,0.0166688889443963
"Core",2006,8,0.0216765217103062
"Core",2007,8,0.0107910130751222
"Core",2008,8,0.00317561050780213
"Core",2009,8,0.0332451383766053
"Core",2010,8,0.0134337318125019
"Core",2011,8,0.0325840078262822
"Core",2012,8,0.00366634553525809
"Core",2013,8,0.0138324555318806
"Core",2014,8,0.02095794028573
"Core",2015,8,0.0145529833838738
"Core",2016,8,0.0285448554741913
"Core",2017,8,0.0157824680354196
"Core",2018,8,0.0247443295803458
"Core",2019,8,0.017435406180201
"Core",2020,8,0.0109439175652958
"Core",2021,8,0.0329336246190372
"Core",2022,8,0.0426174672678203
"Core",2023,8,0.0245752658965642
"Buffer",2001,8,0.0262364061817363
"Buffer",2002,8,0.0108957828934659
"Buffer",2003,8,0.00564365406178432
"Buffer",2004,8,0.00666582378204291
"Buffer",2005,8,0.0112663970022118
"Buffer",2006,8,0.00837997271608746
"Buffer",2007,8,0.0281794522867802
"Buffer",2008,8,0.0111320094069005
"Buffer",2009,8,0.0128002432473114
"Buffer",2010,8,0.0187497287693752
"Buffer",2011,8,0.0177240170602327
"Buffer",2012,8,0.02395504701628
"Buffer",2013,8,0.00591575483481706
"Buffer",2014,8,0.0167891023527394
"Buffer",2015,8,0.0214474342470737
"Buffer",2016,8,0.0103426701657745
"Buffer",2017,8,0.0117375766522036
"Buffer",2018,8,0.0160113720332115
"Buffer",2019,8,0.010251835577258
"Buffer",2020,8,0.0167482488931851
"Buffer",2021,8,0.0246408594062657
"Buffer",2022,8,0.0601987959355588
"Buffer",2023,8,0.0222371520280243
"Outside",2001,8,0.0255818916520914
"Outside",2002,8,0.0181512556861081
"Outside",2003,8,0.00972021142312661
"Outside",2004,8,0.0193608894876358
"Outside",2005,8,0.0151574521918305
"Outside",2006,8,0.0158285639502467
"Outside",2007,8,0.0126296479633494
"Outside",2008,8,0.0107028772878948
"Outside",2009,8,0.0267549401883913
"Outside",2010,8,0.016327347198925
"Outside",2011,8,0.0380861343426606
"Outside",2012,8,0.00726948621923082
"Outside",2013,8,0.00673545677664775
"Outside",2014,8,0.0263877659192646
"Outside",2015,8,0.0191722286290768
"Outside",2016,8,0.0102532837166828
"Outside",2017,8,0.011072355168234
"Outside",2018,8,0.0392902820019176
"Outside",2019,8,0.0212073275961731
"Outside",2020,8,0.018871139790176
"Outside",2021,8,0.0119099222723508
"Outside",2022,8,0.0380485241919074
"Outside",2023,8,0.0255323990213827
"Core",2001,9,0.0139431933893932
"Core",2002,9,0.0184835936387898
"Core",2003,9,0.0235831975118806
"Core",2004,9,0.0107619544982053
"Core",2005,9,0.016879200317412
"Core",2006,9,0.0242105821719386
"Core",2007,9,0.00553607378186086
"Core",2008,9,0.0160350475885485
"Core",2009,9,0.0353069812950157
"Core",2010,9,0.0190971414622726
"Core",2011,9,0.0384513217148256
"Core",2012,9,0.0235509219231917
"Core",2013,9,0.0254096718784148
"Core",2014,9,0.0163988225207755
"Core",2015,9,0.0284641450003328
"Core",2016,9,0.0244013231072501
"Core",2017,9,0.00901227163284261
"Core",2018,9,0.00783494856075733
"Core",2019,9,0.0162757674547412
"Core",2020,9,0.0222737835006764
"Core",2021,9,0.0187399446709991
"Core",2022,9,0.0374733312695
"Core",2023,9,0.0472727917524151
"Buffer",2001,9,0.00922312904294283
"Buffer",2002,9,0.0199092424020585
"Buffer",2003,9,0.0139794974439435
