"draw_id","Zone","n_increase","n_decrease","mean_inc_mag","mean_dec_mag"
127,"Outside",218,392,0.146604722073128,0.307108952179014
128,"Core",222,379,0.15833736716117,0.307047383703428
128,"Buffer",203,406,0.147488302148279,0.321070764778036
128,"Outside",231,378,0.144192951951438,0.297244750564008
129,"Core",225,375,0.139449317281558,0.314704256562741
129,"Buffer",208,401,0.160110815616172,0.29060002510125
129,"Outside",217,393,0.145299216833521,0.314907978225208
130,"Core",227,376,0.150549781644894,0.332313349191244
130,"Buffer",191,418,0.14499710555838,0.295151323347022
130,"Outside",216,394,0.140688163835728,0.300641208434736
131,"Core",233,369,0.167168416941693,0.320756276072404
131,"Buffer",218,389,0.168179807964477,0.30757968406167
131,"Outside",227,382,0.142571616571685,0.321656041515316
132,"Core",229,367,0.144367644153248,0.324855981400104
132,"Buffer",220,388,0.144922858423553,0.321567614644213
132,"Outside",213,396,0.159081239611988,0.311637506122121
133,"Core",204,393,0.176022394381157,0.325108809634588
133,"Buffer",194,413,0.147249983092895,0.309438440957024
133,"Outside",228,382,0.149396119609556,0.297559890856962
134,"Core",226,373,0.154612579816643,0.319341469476375
134,"Buffer",215,393,0.14995724959446,0.303955852856284
134,"Outside",225,384,0.132248526947401,0.30973573265554
135,"Core",223,376,0.14241206308075,0.319604594314173
135,"Buffer",210,399,0.155995146541698,0.300217967851467
135,"Outside",235,375,0.139288691456405,0.31438453724127
136,"Core",230,368,0.143531990917844,0.32755455793364
136,"Buffer",186,420,0.164742616998274,0.302153137896628
136,"Outside",235,375,0.159491055338505,0.305680099418961
137,"Core",229,371,0.150398748123242,0.327557721148232
137,"Buffer",196,412,0.138595586645382,0.317283078604686
137,"Outside",203,407,0.162086069900771,0.299736309663387
138,"Core",221,378,0.177248343079226,0.316898106188203
138,"Buffer",223,387,0.136228239143341,0.30959746709729
138,"Outside",217,393,0.145539092501267,0.31323631841368
139,"Core",213,388,0.141398865505239,0.309956709177493
139,"Buffer",223,386,0.147661339425026,0.335872642814201
139,"Outside",231,378,0.151823770725682,0.313076156236973
140,"Core",208,392,0.143159565985006,0.312228772351349
140,"Buffer",201,407,0.155573809458756,0.316436292549309
140,"Outside",209,401,0.149395560152844,0.29614228142483
141,"Core",220,381,0.14794237384592,0.350493660805411
141,"Buffer",223,383,0.142483939556479,0.312663633497282
141,"Outside",215,394,0.158689974224604,0.291286366995801
142,"Core",228,372,0.155206877783168,0.31282806636494
142,"Buffer",219,390,0.15775860363131,0.301190064338627
142,"Outside",232,378,0.131701884804487,0.312773587493203
143,"Core",236,364,0.155361431756318,0.324603646033604
143,"Buffer",203,407,0.15387754097704,0.304136558247987
143,"Outside",211,397,0.149990277613843,0.303754063467981
144,"Core",230,374,0.151652041707986,0.303532459138162
144,"Buffer",211,399,0.136701559159565,0.323026047959387
144,"Outside",236,374,0.145229522030434,0.311018922361391
145,"Core",230,372,0.148820913848491,0.311202673451317
145,"Buffer",205,402,0.168713670869733,0.304355159878525
145,"Outside",230,380,0.133583576287739,0.303094050973611
146,"Core",222,378,0.16996019238071,0.307216203513057
146,"Buffer",208,402,0.163749265733472,0.292736866384981
146,"Outside",232,378,0.133729977162237,0.30350948369138
147,"Core",211,386,0.146262037704432,0.331653930918831
147,"Buffer",218,391,0.155121943845435,0.296101538332165
147,"Outside",224,386,0.155249942955171,0.305513644886991
148,"Core",233,371,0.159222024529623,0.311547424092099
148,"Buffer",203,405,0.152725505071192,0.285305708450277
148,"Outside",219,390,0.137151661916108,0.30892510033563
149,"Core",208,395,0.166521072621917,0.309235994466444
149,"Buffer",202,406,0.162199184971599,0.30976187500634
149,"Outside",200,410,0.135850357397904,0.296317269186113
150,"Core",235,364,0.141407622475321,0.326053749266055
150,"Buffer",214,395,0.159876055729774,0.316559893465002
150,"Outside",242,368,0.145854574895343,0.311051020471612
151,"Core",213,385,0.181368771574585,0.335643910162652
151,"Buffer",220,388,0.144405108243426,0.321565125233105
151,"Outside",205,404,0.144649429725052,0.309590941899184
152,"Core",220,380,0.139157883242844,0.318449846954684
152,"Buffer",208,401,0.149202171535967,0.292042847000177
152,"Outside",216,394,0.13049616459803,0.307147166790663
153,"Core",222,380,0.188282831436481,0.316955599915135
153,"Buffer",213,395,0.158399995448636,0.304339960427806
153,"Outside",208,402,0.15701121772441,0.285411207629971
154,"Core",229,368,0.142926460097335,0.322725980136729
154,"Buffer",203,405,0.161695703356633,0.294198618135546
154,"Outside",215,395,0.142977159605571,0.298660629195452
155,"Core",228,371,0.145287181494573,0.336964414301572
155,"Buffer",221,387,0.165433742727909,0.318089900654754
155,"Outside",207,401,0.147854444452845,0.306165255414072
156,"Core",219,386,0.14201113107856,0.307500796407164
156,"Buffer",216,392,0.145328761197525,0.306254194026307
156,"Outside",206,404,0.148477415453028,0.30209454704128
157,"Core",211,391,0.128586090177737,0.334785915056782
157,"Buffer",225,383,0.157824561539186,0.323967910533038
157,"Outside",211,399,0.170133941663263,0.292466779691726
158,"Core",209,391,0.157011535880907,0.317272637345913
158,"Buffer",200,408,0.148372381618358,0.300598910509284
158,"Outside",236,373,0.155313541742817,0.308770995663581
159,"Core",200,400,0.149436141125061,0.31716104470466
159,"Buffer",206,400,0.143575544173989,0.293395461425678
159,"Outside",221,389,0.15727664732088,0.304387809305891
160,"Core",222,381,0.15006666313304,0.321340649502778
160,"Buffer",222,386,0.147365364686917,0.311964359340929
160,"Outside",210,400,0.14697468338474,0.312009653261892
161,"Core",232,367,0.144211486403261,0.332680415521672
161,"Buffer",198,411,0.164477438898549,0.287971545718021
161,"Outside",233,377,0.153448080598794,0.293866397471298
162,"Core",212,384,0.149488559906489,0.309127941574491
162,"Buffer",219,391,0.157037108290371,0.310947581741856
162,"Outside",236,372,0.122440117552322,0.324836931516771
163,"Core",211,388,0.178665251899983,0.300131703954948
163,"Buffer",227,382,0.153626702400377,0.30850478370468
163,"Outside",211,399,0.139922440690269,0.304997069745471
164,"Core",242,356,0.149321351652294,0.307821034004146
164,"Buffer",209,400,0.162177139899157,0.304440525868835
164,"Outside",225,385,0.132663439293197,0.318675696980687
165,"Core",224,378,0.145499928874242,0.341414336032302
165,"Buffer",206,401,0.137456371862404,0.305279732659917
165,"Outside",227,383,0.146733751047838,0.297426514962142
166,"Core",210,392,0.164655415102773,0.304347774781302
166,"Buffer",203,407,0.18495899691446,0.287848461892424
166,"Outside",231,379,0.140500002932052,0.312242253276909
167,"Core",212,391,0.151897967472776,0.318560961015931
167,"Buffer",205,404,0.162183806646756,0.293460557723008
167,"Outside",234,376,0.17713879899924,0.308360371080642
168,"Core",223,374,0.157968099405744,0.302667622317388
168,"Buffer",215,395,0.150974823041926,0.330251873199611
168,"Outside",217,393,0.165664738913487,0.296975707995829
169,"Core",244,355,0.151211352585135,0.332095599336157
169,"Buffer",206,403,0.143475503836988,0.308936639391481
169,"Outside",227,383,0.133658137302073,0.297490353813688
170,"Core",225,379,0.143313912413002,0.341749831158291
170,"Buffer",199,411,0.152378213802179,0.300857250705123
