"Rarity","Zone","Year","gm_median","gm_low","gm_high"
"Common","Buffer",2019,0.636607637882283,0.612873321435951,0.658639152723899
"Common","Buffer",2020,0.592826432143762,0.56696448677844,0.617015192897706
"Common","Buffer",2021,0.573234405054336,0.547190928157934,0.597274625505365
"Common","Buffer",2022,0.456431240484794,0.427915145798117,0.486058648952637
"Common","Buffer",2023,0.392772462744568,0.353853275499681,0.426311515411921
"Common","Outside",2000,0.62265431884836,0.543406339171028,0.695034165044676
"Common","Outside",2001,0.64968956249658,0.579833663877849,0.703091058187026
"Common","Outside",2002,0.690128955527671,0.646915915964522,0.731894114420063
"Common","Outside",2003,0.681008537237706,0.639164007080164,0.721713859027775
"Common","Outside",2004,0.682698477231461,0.636295606770821,0.725858153297537
"Common","Outside",2005,0.703608228870613,0.660275943967014,0.743453999394821
"Common","Outside",2006,0.708235893065339,0.670421401993919,0.741706366536484
"Common","Outside",2007,0.661146173528187,0.623386887716398,0.697563927385419
"Common","Outside",2008,0.623714118724495,0.587786152187142,0.656253295527378
"Common","Outside",2009,0.566145552287561,0.531085644252084,0.597948582294538
"Common","Outside",2010,0.519072327979613,0.490249724755691,0.547931018434386
"Common","Outside",2011,0.555612451104841,0.527901982893791,0.584320650262068
"Common","Outside",2012,0.559018553760629,0.532216853763681,0.585816036306454
"Common","Outside",2013,0.527377553590444,0.500484237601176,0.552451457800203
"Common","Outside",2014,0.517153834712775,0.488512824194298,0.544333158470631
"Common","Outside",2015,0.540302397444677,0.514083968320849,0.565220157753536
"Common","Outside",2016,0.54263668887713,0.516695559144328,0.567329489730128
"Common","Outside",2017,0.624646856765662,0.601228629393845,0.643404461713921
"Common","Outside",2018,0.61887049255835,0.596808924917508,0.640760225684366
"Common","Outside",2019,0.640808168170878,0.617272003230805,0.662081812366262
"Common","Outside",2020,0.64466812894518,0.62044990945718,0.668025266117359
"Common","Outside",2021,0.598822323293765,0.575061680968578,0.624263436773205
"Common","Outside",2022,0.497135219023728,0.47122825197248,0.521601207538805
"Common","Outside",2023,0.463806438211218,0.431576747793008,0.494298869766882
